Topic ID,Argument ID,Discussion ID,Premise,Relevance,Is Argument?,Rhetorical Quality,Logical Quality,Dialectical Quality,Text Length,Stance,Combined Quality
10,4,15859,"My opponent is using a huge logical fallacy; he is claiming that because medical marijuana doesn't have medical purposes for all medical conditions that the medical conditions it does have medical purposes for do not count. The fact remains that medical marijuana has several medical purposes such as alleviating neurpathic pain. A ban on medical marijuana would result in the ban of a medicine that works better than any other medicines, resulting in worse health out comes and a worse off health care system. My opponents post is also lying the source i posted studied the addictive potential of some medical marijuana the studies found that certain medical marijuana extracts do not result in addictive properties or addictive behavior. medical marijuana is different then regular marijuana because in medical marijuana they take out the harmful and addictive chemicals and only use the chemicals that have medical purposes. this means that every time my opponent links to marijuana having unhealthy effects he is comparing apples and oranges, and therefore his comparisons are invalid. For example a scientific study found that medial marijuana improved the mental abilities of people with Alzheimers. So basically a ban on medical marijuana would be an example of the government telling doctors how to treat patients. it would also be an example of the government telling millions of sick people that they cannot legally consume medicines that improve their medical condition.",0.804469854,TRUE,1.535072379,0.952267904,0.881799906,234,TRUE,1.295936663
10,6,33373,"Although marijuana has been proven as a alternative to treating cancer, it is still a dangerous drug. There are other medical options that have the same effect on cancer patients without being as dangerous. Different medicines can diminish pain and cause relief without having as dangerous side effects.",0.491688825,TRUE,0.072040846,-0.801150906,-0.627380342,48,FALSE,-0.525441092
15,6,1349,"Not ALL commercials are inappropriate, and I cannot understand why you insist they are. In addition, the production costs more and is of higher quality, because why would the companies air commercials for millions of dollars when it isnt worth it? (e.i. poor quality...) The only logical way to advertise during the Superbowl is to make commercials that are of great quality, and that catch the eye of the viewers. You misunderstood my first argument. I was not only implying they are inappropriate, but they lack in variety. This has gone untouched. Since they all focus on one SPECIFIC group, they lack in variety. This is bad. But what you did try to attack was the inappropriateness of the commercials. Your only response is that ""not ALL commercials are inappropriate."" Honestly, the majority of them are inappropriate. Thus, they are bad. And finally, the value of the commercial. I understand what you saying, but you are confusing what is wanted to what is actually done. Here is my logic...again...with numbers this time for clarity. Commercial has a budget of $15,000. Normal commercial cost $2,000 to air. Normal commercial allows $13,000 for production. Super Bowl commercial cost $7,000. Super Bowl commercial allows $8,000 for production. Companies obviously WANT to make super bowl commercials of the highest quality, but they can't afford it. So super bowl commercials lack variety are inappropriate lack high quality",-2.010559408,TRUE,-0.683563129,1.437087565,-0.246908709,232,FALSE,0.233193783
9,17,40213,"i think this because, many teenagers and kids have social networking sites, such as facebook .. etc. and if social networking was apart of the curriculum then teachers could teach students how to use these sites in a safe and harmless way. The truth of the matter is more teens use these social networking sites than adults themselves, and if teachers were able to help the students, teach them how to use the sites in appropriate and safe ways, it'll make a difference. A lot of people miss-use social networking sites in bad ways, either discrimination, or degrading, so if teachers were able to teach and protect their students from these things by teaching it to them and adding it in the curriculum, they could change how teens use the internet in a positive way. Also i feel that, teenagers would like to learn more about social sites, and they would like to know how to use it the right way, so if they were taught at school, this would be a positive thing to do. In conclusion, if social networking was added to the curriculum it would be a positive thing to do!",-0.446654263,TRUE,0.520768299,-0.017420757,0.738103704,194,TRUE,0.475137396
9,4,6310,"Resolved: That, on balance, social networking Web sites have a positive impact on the United States. Today, I am against the resolution, Resolved: That, on balance, social networking Web sites have a positive impact on the United States. Social networking sites have had a negative impact on the United States. My first conjunctions is as followed; --Social Networking is potentially going to harm to persons using them. One example of this is Megan Meier, who took her life after an old friends mom posed as a boy on myspace and began harassing her. When a social networking site does nothing to protect users of it's site, we see it as unfit. Just as we would see a mother unfit to raise a child if she didn't protect it from danger. ** I can't wait for someone's reply**",-0.446654263,TRUE,-1.702674768,0.192878237,-0.27228739,137,FALSE,-0.658484246
9,1,26256,"Arguments: Social networking sites are places where people 'share' or upload details of their personal life to the world wide web , in order to connect better with their friends or personal contacts. Under such circumstances social networking sites become ware houses for large amounts of pervading information into the life of its members which includes photographs, email and other contact details. This information is usually uploaded by members solely for the Eyes of their own contacts. Social Networking sites may find it difficult to maintain huge establishments merely through online applications and add generated revenue. They hence often find themselves compelled to cash in at other places. Multi-national co-operations and sometimes people with malafide intent are willing to pay money in exchange for personal contact details including personal preferences of ordinary people, these details are often used against the best interest of uncanny victims usually for marketing purposes, but sometimes for the more vicious credit card and other monetary frauds. The sale of contact details of millions of such social network users generate enormous income for companies, and grievous injustice and harassment of users. For the above stated purposes , I propose that it will be in the best interest of the users of such networking sites,if governments make it a punishable offense for companies to share private details of individual users for commercial gain.",1.117250883,TRUE,1.105675361,0.697381032,0.981167133,226,TRUE,1.06706157
9,3,33185,"Hello and welcome back to the debate; Social Networking Sites are Harmful. EleaDEVILnor has tried but unsuccessfully to convince you other wise. Thank you. I will start with some facts I found whilst strolling the library. 200 University of Maryland students gave up online media as part of a new study in 2011. When asked how they felt during the brief disconnection, students' descriptions of frantic cravings for the technology, anxiety and jitters mirrored those typical of people going through withdrawal from drugs or alcohol. If people have become so addicted to social media, as the Maryland study suggests, it makes you wonder: Is social networking good or bad for us? Bad I say! We have always known that computer networks would destroy the world. We just thought they'd get super-intelligent first. Instead, we got social networks, which act as a stupidity X-ray. You suddenly see through the intelligent people your friends pretend to be to the LOL-ing Farmville players underneath. Some smart people decided to study these networks, and found that they're a big threat to society. At least the rise of those machines forced us to band together and do things. Debate closed. Thank you. EllieBub :) I enjoyed this debate EleaDEVILnor, you are a good component! EllieBub",0.491688825,TRUE,0.007996484,0.97893617,0.513296136,210,TRUE,0.57816753
9,5,33185,"I would like to point out that my opponent has said that social networking sites allow people at 10+, that is a lie sites have restricted people to be at least 13 to be allowed onto these sites and that is because 10 year olds wouldn't know what to do if strangers tried to be friends with them or if they became cyber-stalked and that is because they wouldn't be responsible or mature enough to know what to do in that situation. You also said that people do get harmed form cyber bullying so your saying that everyone that gets bullied on the Internet goes how do I put it crazy? you are just putting it out there that you wouldn't be ashamed to say that someone has gone crazy to many people. harmful shouldn't really be the word used to define social networking sites but then again no word would really suit. When you are on social networking sites you can do many things that are good like talk to friends and family without a problem, or share photos from another country. facebook or titer can be used to say in touch with people all around the world for free or you could just call them for say $1 per minute if they're on the other side of the world, then again it would be nice hearing their voice but they'll hear yours when you get the phone bill, but meh that doesn't matter you could just go on facebook and talk to them. That would be so much easier, guess what else it is.... easy to use for all those technology challenged people simple like a wave of a wand or a swish of the wrist.",0.491688825,TRUE,0.557946564,0.031005134,0.769552117,288,FALSE,0.520089872
9,5,9551,"This is following PF rules - Increases physical harm So many teenagers and adults have lost their lives as a result of social networking web sites. Because of a website, mothers have had to bury their children. It does not benefit our society. -Increases emotional harm People say a lot of irresponsible things while online. It results in unneeded and unwanted feelings that get hurt. Most of the users of social networking websites are teenagers. At that age, they are still kids, therefore, unable to determine who their true friends are. As a result, they are linked to the wrong people. So, reconsidering who their friends are would not actually help them. Because the resolution states ""That, on balance"" that means that the bad has to outweigh the good, or vice versa in order to win the debate. That being said, staying in contact with friends, and so many people dying cannot compare to each other. Thus, I stand Resolved: That, on balance, social networking Web Sites have a negative impact on the United States.",-0.133873234,TRUE,-0.217721119,-0.287740625,0.141929589,175,FALSE,-0.148414927
9,2,7703,"Social networking has a POSITIVE impact in the United States. Without it, -our economy would not be where it is today -communication opportunities would be smaller -socially we would be closed to trying new things Going on to refute my opponent.. - although social networking sites are just a tool, without them.. businesses would not be able to assemble as they wish advertisements would not be able to appeal to consumers the general public would be unable to communicate as efficiently - because social networking sites promote people who have brains and can think independently, it can still have a direct effect Although the person has the impact, they would be unable to achieve what they planned to if the tool was not present As a result, PRO should recieve the winning vote",0.804469854,TRUE,0.155468975,0.325750972,0.935644128,133,TRUE,0.543496085
9,2,3382,"There are age restrictions on most social networking sites. The problem is when asked their year of birth, they lie. It is very easy to bypass the system. When you come up with a better one, sell it to all the social networking sites and you'll be rich. On many of these sites like Instagram, you can report what people put our say. It's nothing to do with the sites. It's the people who got to take it into there own hands. What can a pedophile do through conversation? Message rape? I don't think so. And it's the 13 year olds that are probably the easiest to convince to meet in an alley or parking lot because they are more sexually interested. I'm in class right now so I have to end it here. I'm 14 but my profile shows 23. It's that easy to change your age.",0.491688825,TRUE,-0.368960554,-0.344944747,0.75130323,148,FALSE,0.020181009
9,18,33075,"I hate to break it to you, but in the age we're living in every social networking site on the entire Internet could be shut down and your personal information would be no less safe than it is now. Public records have existed much, much longer than the Internet itself, let alone social networking sites and those determined to access them for their own purposes will find a way to do so no matter what. Furtheremore, social networking sites are a great way for family and friends who live too far from each other to visit to be able to communicate.",-0.759435292,TRUE,-0.836044796,0.206927544,-0.488236058,101,FALSE,-0.430391185
9,1,7703,"Social Networks are basically things like: FACEBOOK, MYSPACE, TAG, ZANGA... - They are good because they increase communication opportunities Nowadays, just calling and text messaging is not enough. There has to be some sort of quick communication occurring online, and that is what social networking does. - They stimulate our economy Social networking websites are able to advertise to their users based on what it looks like they or their friends would like. That comes in handy because it saves consumers money and increases production opportunities. - They allow idividuals to expand their social horizons Normally, becuase we are human, we would want to stick with our ""cliques"" or circle of friends. Social networking sites reccomend individuals that you are not ""freinds"" with yet in an effort to increase your friends.",-0.133873234,TRUE,0.237398258,0.668784124,0.507404549,131,TRUE,0.537776823
9,5,18518,"I will state these facts: Case 1: hackers Even if your account is private. Hacker may hack into your account and steal your information. Case 2: Why be on a social networking site if you want it private? That is the whole case of social networking! Case 3: Many kids do not know how to block or make accounts private. Case 4: There are a lot of pedofiles on social networking sites. A lot of kids don't know better, and give them their information. This could lead to families getting robbed or the kids being abducted. Case 5: Your parents should monitor it to make sure you are doing what you are supposed to and keep you safe. These are my opening statements. Thank you!",-0.759435292,TRUE,-0.480986989,-0.149868073,0.501782516,125,FALSE,-0.050222883
9,5,24352,"I will just post something to get a win since he forfeited so yeah due to forfeit I at least win 100% on conduct My argument will be simple I am not gonna waste 115-30 minutes researching and preparing a difficult speech if I have no opponent this will be just a regular speech because that is all I need to win. cont 1: threats from social networking sites A survey on mic.com shows that at least 50% of rapes happen from info posted on social media about where they live. Yes it can be avoided if they hide this info but many teenagers are not considering this, or kind of like your house catching on fire, don't believe it will happen to them. cont 2: Some teenagers make social media their life On fox news they interview some people who stay on as long as 16 hours a day because they feel like social media is their life. Their are even some who get the 2 worlds mixed up and have to go get therapy. Ok that's all I am posting if opponent returns I will add more stuff but its not worth wasting time if no opponent just a argument at all is what I need to win so that's all ima do a simple argument.",0.804469854,TRUE,-0.534416676,-0.416752105,0.721242422,218,FALSE,-0.080172929
9,4,40253,"The opponent argues that DDO (debate.org, the site you are currently on) is ""similar to a social network."" This is plainly false. Allow me to elaborate. Social Network - ""An online community of people with a common interest who use a website or other technologies to communicate with each other and share information, resources, etc."" [1] It is clear that DDO is a social network. We are all brought together as an online community with the common interest of ""debate"", as the opponent as admitted. Furthermore, we spend a great deal of time communicating with one another and sharing information. Similar - ""almost the same as someone or something else"" [2] Almost - ""only a little less than"" [3] The definition of similar clearly dictates that for two objects to be similar, they have to be almost the same, but objectively different by ""only a little"". Considering that DDO is a social network, it cannot be said that DDO is ""similar"" to a social network, because that would imply that DDO itself is not a social network. I'll formulate this as a syllogism. Premise 1: DDO is a social network. [Definition of social network.] Premise 2: Two similar objects must differ by ""a little"". [Definition of similar.] Inference 1: DDO and a ""social network"" do not differ by a little. [By P1.] Conclusion: DDO and a ""social network"" are not similar. Conclusion I have clearly demonstrated that DDO is not similar to a social network, since it is exactly a social network. Points to Con, thanks for reading. Sources: 1 - - -",-0.446654263,TRUE,-0.156838135,0.31339426,0.103953751,263,FALSE,0.0927055
9,4,9551,This is following PF rules - Increases physical harm So many teenagers and adults have lost their lives as a result of social networking web sites. It does not benefit our society. -Increases emotional harm People say a lot of irresponsible things while online. It results in unneeded and unwanted feelings that get hurt.,-0.446654263,TRUE,-0.808184726,-0.634939066,0.064322795,54,FALSE,-0.534063933
13,5,29430,"I'm having trouble seeing exactly where you are coming from and without trying to cause offence I don't feel you are being entirely sincere. I feel your philosophy is contradictory as I find it hard to understand your concern regarding police brutality but your wish to have them be the only ones who can carry arms. So your position is if they are the only ones allowed to carry them they will be less likely to shoot innocent people...really? Truth is whatever your position which is somewhat deluded I'm far more afraid of the police hurting me then my peers or neighbours! Look G the excuses fly because they are allowed to..if it were not one excuse it would be another, I feel your passion but please..please give it to more worthwhile arguments!! Personally i don't think you do understand the psychology which to me is quite simple...pumped up psychopaths with a get out of jail free card...may kill you..simple. It has nothing to do with there fear. More people comit suicide each year then shoot at the police or commit murder give me a break! The police's paranoia is what some may call deflection... Would I give up my right to be able to protect myself i n favour of the police protecting me...hell no!!! I doubt most would!!!",0.178907796,TRUE,-1.545850098,-0.346408652,-1.597404919,220,TRUE,-1.336265336
