Model,Dim,Prompt,pearson,spearman,kendall,mae,rmse,cohen_kappa,%_agreement
mistral-7B-small,logic,zero,0.209,0.211,0.143,0.975,1.257,0.103,21.818
mistral-7B-small,logic,few,-0.08,-0.091,-0.061,1.149,1.469,0.412,45.506
mistral-7B-small,logic,cot,0.193,0.177,0.12,0.969,1.271,0.041,17.309
mistral-7B-small,rhetoric,zero,0.251,0.238,0.162,0.97,1.224,0.223,32.132
mistral-7B-small,rhetoric,few,0.046,0.066,0.044,1.063,1.382,0.406,44.847
mistral-7B-small,rhetoric,cot,0.259,0.242,0.164,0.945,1.217,0.101,24.154
mistral-7B-small,dialectic,zero,0.236,0.246,0.164,0.975,1.236,0.159,26.706
mistral-7B-small,dialectic,few,0.281,0.27,0.183,0.926,1.199,0.179,28.118
mistral-7B-small,dialectic,cot,0.211,0.22,0.145,0.987,1.256,0.143,25.717
llama-8B-small,logic,zero,0.247,0.252,0.17,0.961,1.227,0.357,41.313
llama-8B-small,logic,few,0.183,0.183,0.123,1.015,1.278,0.427,46.968
llama-8B-small,logic,cot,0.099,0.092,0.062,1.062,1.343,0.295,36.36
llama-8B-small,rhetoric,zero,0.28,0.284,0.189,0.965,1.2,0.39,43.972
llama-8B-small,rhetoric,few,0.115,0.143,0.096,1.031,1.33,0.417,45.85
llama-8B-small,rhetoric,cot,0.0,0.003,0.002,1.105,1.414,0.317,38.167
llama-8B-small,dialectic,zero,0.248,0.254,0.169,0.979,1.227,0.374,42.754
llama-8B-small,dialectic,few,0.166,0.14,0.093,1.015,1.291,0.429,47.04
llama-8B-small,dialectic,cot,0.071,0.073,0.049,1.074,1.363,0.296,36.497
olmo2-7B-small,logic,zero,-0.07,-0.068,-0.045,1.154,1.463,0.313,37.665
olmo2-7B-small,logic,few,-0.103,-0.121,-0.081,1.167,1.485,0.408,45.162
olmo2-7B-small,logic,cot,-0.054,-0.068,-0.046,1.146,1.452,0.321,38.31
olmo2-7B-small,rhetoric,zero,0.015,-0.012,-0.008,1.111,1.403,0.347,40.374
olmo2-7B-small,rhetoric,few,-0.05,-0.096,-0.065,1.142,1.449,0.393,43.707
olmo2-7B-small,rhetoric,cot,-0.006,-0.032,-0.021,1.115,1.418,0.382,42.969
olmo2-7B-small,dialectic,zero,-0.048,-0.016,-0.011,1.097,1.448,0.333,39.313
olmo2-7B-small,dialectic,few,-0.107,-0.092,-0.061,1.138,1.488,0.403,44.667
olmo2-7B-small,dialectic,cot,0.065,0.093,0.062,1.053,1.368,0.365,41.922
qwen2.5-7B-small,logic,zero,0.339,0.342,0.233,0.912,1.15,0.425,47.133
qwen2.5-7B-small,logic,few,0.336,0.347,0.237,0.892,1.153,0.452,49.326
qwen2.5-7B-small,logic,cot,0.043,0.043,0.028,1.107,1.383,0.361,41.578
qwen2.5-7B-small,rhetoric,zero,0.287,0.288,0.194,0.938,1.194,0.424,46.882
qwen2.5-7B-small,rhetoric,few,0.323,0.334,0.227,0.898,1.164,0.456,49.427
qwen2.5-7B-small,rhetoric,cot,0.351,0.36,0.244,0.902,1.139,0.405,45.707
qwen2.5-7B-small,dialectic,zero,0.341,0.348,0.234,0.905,1.148,0.442,48.502
qwen2.5-7B-small,dialectic,few,0.402,0.395,0.267,0.857,1.094,0.46,49.95
qwen2.5-7B-small,dialectic,cot,0.17,0.199,0.132,1.013,1.288,0.431,47.319
commandr-7B-small,logic,zero,0.294,0.286,0.192,0.943,1.189,0.409,45.621
commandr-7B-small,logic,few,0.133,0.136,0.091,1.035,1.317,0.367,42.116
commandr-7B-small,logic,cot,0.309,0.295,0.199,0.936,1.175,0.328,39.134
commandr-7B-small,rhetoric,zero,0.421,0.413,0.283,0.844,1.076,0.422,46.753
commandr-7B-small,rhetoric,few,0.375,0.368,0.25,0.881,1.118,0.373,42.883
commandr-7B-small,rhetoric,cot,0.359,0.359,0.244,0.89,1.132,0.342,40.596
commandr-7B-small,dialectic,zero,0.394,0.39,0.265,0.874,1.101,0.42,46.638
commandr-7B-small,dialectic,few,0.395,0.401,0.273,0.856,1.1,0.388,44.116
commandr-7B-small,dialectic,cot,0.367,0.377,0.256,0.883,1.125,0.351,41.019
mixtral-8x7B-medium,logic,zero,0.223,0.225,0.151,0.987,1.246,0.326,38.991
mixtral-8x7B-medium,logic,few,0.24,0.253,0.17,0.961,1.233,0.44,48.258
mixtral-8x7B-medium,logic,cot,-0.033,-0.033,-0.022,1.126,1.437,0.299,36.676
mixtral-8x7B-medium,rhetoric,zero,0.173,0.15,0.1,1.019,1.286,0.376,43.012
mixtral-8x7B-medium,rhetoric,few,0.06,0.093,0.062,1.039,1.371,0.415,45.614
mixtral-8x7B-medium,rhetoric,cot,0.204,0.178,0.121,0.973,1.262,0.21,31.501
mixtral-8x7B-medium,dialectic,zero,0.126,0.14,0.093,1.028,1.322,0.314,38.26
mixtral-8x7B-medium,dialectic,few,0.399,0.392,0.267,0.852,1.096,0.32,38.797
mixtral-8x7B-medium,dialectic,cot,0.108,0.108,0.072,1.042,1.336,0.323,38.898
mistral-22B-medium,logic,zero,-0.098,-0.103,-0.069,1.152,1.482,0.379,42.732
mistral-22B-medium,logic,few,-0.037,-0.041,-0.028,1.119,1.44,0.372,42.317
mistral-22B-medium,logic,cot,-0.119,-0.129,-0.086,1.174,1.496,0.376,42.453
mistral-22B-medium,rhetoric,zero,-0.046,-0.076,-0.05,1.134,1.446,0.385,43.119
mistral-22B-medium,rhetoric,few,-0.035,-0.051,-0.034,1.13,1.439,0.386,43.191
mistral-22B-medium,rhetoric,cot,-0.004,-0.039,-0.026,1.113,1.417,0.355,41.084
mistral-22B-medium,dialectic,zero,-0.112,-0.102,-0.069,1.14,1.492,0.379,42.84
mistral-22B-medium,dialectic,few,-0.069,-0.066,-0.044,1.136,1.462,0.374,42.438
mistral-22B-medium,dialectic,cot,-0.092,-0.084,-0.056,1.136,1.478,0.38,42.89
olmo2-32B-medium,logic,zero,0.416,0.393,0.269,0.854,1.081,0.387,44.08
olmo2-32B-medium,logic,few,0.29,0.284,0.192,0.946,1.192,0.365,42.137
olmo2-32B-medium,logic,cot,0.387,0.375,0.255,0.878,1.107,0.421,46.839
olmo2-32B-medium,rhetoric,zero,0.408,0.389,0.265,0.854,1.088,0.386,44.058
olmo2-32B-medium,rhetoric,few,0.38,0.383,0.26,0.884,1.114,0.409,45.649
olmo2-32B-medium,rhetoric,cot,0.428,0.411,0.28,0.846,1.07,0.416,46.395
olmo2-32B-medium,dialectic,zero,0.381,0.35,0.238,0.872,1.113,0.325,39.106
olmo2-32B-medium,dialectic,few,0.219,0.217,0.146,0.981,1.25,0.401,44.954
olmo2-32B-medium,dialectic,cot,0.381,0.355,0.24,0.883,1.113,0.37,42.646
mixtral-8x22B-medium,logic,zero,0.256,0.239,0.161,0.96,1.22,0.248,32.877
mixtral-8x22B-medium,logic,few,0.2,0.191,0.127,1.011,1.265,0.416,46.216
mixtral-8x22B-medium,logic,cot,0.198,0.207,0.138,1.015,1.267,0.391,44.065
mixtral-8x22B-medium,rhetoric,zero,0.258,0.242,0.163,0.97,1.218,0.336,40.052
mixtral-8x22B-medium,rhetoric,few,0.287,0.272,0.185,0.926,1.194,0.394,44.445
mixtral-8x22B-medium,rhetoric,cot,0.252,0.229,0.155,0.979,1.223,0.334,40.023
mixtral-8x22B-medium,dialectic,zero,0.196,0.2,0.134,1.002,1.268,0.35,40.933
mixtral-8x22B-medium,dialectic,few,0.382,0.356,0.243,0.877,1.112,0.426,47.19
mixtral-8x22B-medium,dialectic,cot,0.205,0.216,0.144,1.005,1.261,0.387,43.879
llama-70B-big,logic,zero,0.446,0.45,0.31,0.834,1.053,0.495,53.204
llama-70B-big,logic,few,0.474,0.479,0.329,0.806,1.026,0.493,53.003
llama-70B-big,logic,cot,0.453,0.453,0.312,0.825,1.046,0.5,53.555
llama-70B-big,rhetoric,zero,0.437,0.444,0.304,0.838,1.061,0.485,52.028
llama-70B-big,rhetoric,few,0.476,0.488,0.333,0.808,1.024,0.493,52.759
llama-70B-big,rhetoric,cot,0.488,0.484,0.334,0.794,1.012,0.481,51.756
llama-70B-big,dialectic,zero,0.444,0.427,0.291,0.835,1.055,0.48,51.756
llama-70B-big,dialectic,few,0.469,0.464,0.318,0.818,1.031,0.494,53.017
llama-70B-big,dialectic,cot,0.455,0.458,0.314,0.818,1.044,0.481,51.971
qwen2.5-72B-big,logic,zero,0.462,0.466,0.32,0.828,1.038,0.465,50.753
qwen2.5-72B-big,logic,few,0.445,0.454,0.31,0.838,1.053,0.427,47.556
qwen2.5-72B-big,logic,cot,0.415,0.421,0.287,0.871,1.082,0.477,51.656
qwen2.5-72B-big,rhetoric,zero,0.467,0.471,0.324,0.812,1.033,0.474,51.254
qwen2.5-72B-big,rhetoric,few,0.48,0.49,0.337,0.794,1.019,0.45,49.599
qwen2.5-72B-big,rhetoric,cot,0.444,0.456,0.312,0.832,1.055,0.44,48.66
qwen2.5-72B-big,dialectic,zero,0.461,0.459,0.315,0.811,1.038,0.462,50.459
qwen2.5-72B-big,dialectic,few,0.434,0.433,0.295,0.84,1.064,0.457,49.978
qwen2.5-72B-big,dialectic,cot,0.445,0.45,0.307,0.834,1.053,0.436,48.337
commandr-104B-big,logic,zero,0.413,0.411,0.282,0.843,1.084,0.434,48.065
commandr-104B-big,logic,few,0.405,0.394,0.271,0.849,1.091,0.361,42.116
commandr-104B-big,logic,cot,0.38,0.386,0.264,0.862,1.114,0.455,49.67
commandr-104B-big,rhetoric,zero,0.342,0.345,0.234,0.889,1.147,0.411,46.18
commandr-104B-big,rhetoric,few,0.388,0.383,0.262,0.865,1.106,0.415,46.395
commandr-104B-big,rhetoric,cot,0.327,0.341,0.23,0.9,1.16,0.436,47.979
commandr-104B-big,dialectic,zero,0.34,0.329,0.223,0.895,1.149,0.423,46.968
commandr-104B-big,dialectic,few,0.382,0.366,0.248,0.878,1.112,0.44,48.402
commandr-104B-big,dialectic,cot,0.357,0.344,0.233,0.893,1.134,0.393,44.61
