Model,Dim,Prompt,pearson,spearman,kendall,mae,rmse,cohen_kappa,%_agreement
mistral-7B-small,logic,zero,0.484,0.5,0.347,0.813,1.016,0.147,18.435
mistral-7B-small,logic,few,-0.166,-0.179,-0.121,1.211,1.527,0.341,39.256
mistral-7B-small,logic,cot,0.403,0.426,0.292,0.862,1.093,0.066,10.328
mistral-7B-small,rhetoric,zero,0.539,0.542,0.378,0.774,0.96,0.325,34.984
mistral-7B-small,rhetoric,few,0.021,0.057,0.037,1.109,1.399,0.511,54.974
mistral-7B-small,rhetoric,cot,0.508,0.521,0.361,0.809,0.992,0.137,15.195
mistral-7B-small,dialectic,zero,0.54,0.55,0.385,0.774,0.959,0.231,25.53
mistral-7B-small,dialectic,few,0.315,0.319,0.215,0.935,1.17,0.212,24.176
mistral-7B-small,dialectic,cot,0.516,0.529,0.367,0.798,0.984,0.199,22.327
llama-8B-small,logic,zero,0.487,0.484,0.336,0.799,1.012,0.465,50.165
llama-8B-small,logic,few,0.309,0.299,0.203,0.938,1.175,0.566,60.034
llama-8B-small,logic,cot,0.261,0.266,0.18,0.97,1.216,0.383,42.223
llama-8B-small,rhetoric,zero,0.491,0.488,0.336,0.805,1.009,0.535,56.788
llama-8B-small,rhetoric,few,0.133,0.157,0.104,1.053,1.317,0.538,57.576
llama-8B-small,rhetoric,cot,0.086,0.09,0.06,1.094,1.352,0.403,44.037
llama-8B-small,dialectic,zero,0.513,0.521,0.361,0.785,0.987,0.493,52.702
llama-8B-small,dialectic,few,0.241,0.249,0.169,0.981,1.232,0.594,62.658
llama-8B-small,dialectic,cot,0.235,0.233,0.157,0.997,1.237,0.377,41.356
olmo2-7B-small,logic,zero,-0.1,-0.103,-0.069,1.17,1.483,0.263,31.422
olmo2-7B-small,logic,few,-0.166,-0.18,-0.122,1.214,1.527,0.345,39.643
olmo2-7B-small,logic,cot,-0.07,-0.081,-0.054,1.157,1.463,0.281,33.114
olmo2-7B-small,rhetoric,zero,0.067,0.051,0.036,1.106,1.366,0.414,45.535
olmo2-7B-small,rhetoric,few,0.062,0.039,0.025,1.101,1.37,0.497,53.741
olmo2-7B-small,rhetoric,cot,0.03,0.024,0.018,1.115,1.393,0.459,50.129
olmo2-7B-small,dialectic,zero,-0.064,-0.052,-0.034,1.145,1.459,0.307,35.314
olmo2-7B-small,dialectic,few,-0.087,-0.082,-0.055,1.17,1.475,0.402,45.026
olmo2-7B-small,dialectic,cot,0.064,0.071,0.048,1.092,1.368,0.372,41.607
qwen2.5-7B-small,logic,zero,0.666,0.664,0.48,0.633,0.818,0.619,64.622
qwen2.5-7B-small,logic,few,0.605,0.627,0.452,0.672,0.889,0.694,71.703
qwen2.5-7B-small,logic,cot,0.326,0.31,0.212,0.91,1.161,0.423,46.251
qwen2.5-7B-small,rhetoric,zero,0.581,0.581,0.41,0.715,0.915,0.635,66.148
qwen2.5-7B-small,rhetoric,few,0.563,0.569,0.403,0.719,0.935,0.673,69.911
qwen2.5-7B-small,rhetoric,cot,0.653,0.659,0.475,0.645,0.833,0.611,63.632
qwen2.5-7B-small,dialectic,zero,0.674,0.675,0.488,0.624,0.808,0.665,68.929
qwen2.5-7B-small,dialectic,few,0.677,0.681,0.495,0.61,0.804,0.71,73.294
qwen2.5-7B-small,dialectic,cot,0.51,0.512,0.355,0.775,0.99,0.592,62.192
commandr-7B-small,logic,zero,0.35,0.344,0.233,0.918,1.14,0.448,48.932
commandr-7B-small,logic,few,0.148,0.15,0.101,1.033,1.306,0.365,41.091
commandr-7B-small,logic,cot,0.401,0.394,0.268,0.875,1.095,0.379,41.987
commandr-7B-small,rhetoric,zero,0.544,0.549,0.385,0.748,0.955,0.558,59.11
commandr-7B-small,rhetoric,few,0.502,0.499,0.342,0.797,0.998,0.494,52.853
commandr-7B-small,rhetoric,cot,0.482,0.479,0.33,0.818,1.018,0.44,47.377
commandr-7B-small,dialectic,zero,0.463,0.459,0.315,0.825,1.036,0.508,54.458
commandr-7B-small,dialectic,few,0.497,0.502,0.346,0.795,1.003,0.497,53.261
commandr-7B-small,dialectic,cot,0.44,0.44,0.3,0.842,1.059,0.439,47.563
mixtral-8x7B-medium,logic,zero,0.418,0.404,0.279,0.854,1.079,0.369,40.919
mixtral-8x7B-medium,logic,few,0.482,0.491,0.339,0.796,1.018,0.577,60.916
mixtral-8x7B-medium,logic,cot,0.032,0.021,0.015,1.1,1.392,0.289,33.508
mixtral-8x7B-medium,rhetoric,zero,0.321,0.314,0.213,0.934,1.165,0.473,50.917
mixtral-8x7B-medium,rhetoric,few,0.034,0.072,0.047,1.105,1.39,0.533,57.06
mixtral-8x7B-medium,rhetoric,cot,0.303,0.267,0.18,0.946,1.181,0.237,26.562
mixtral-8x7B-medium,dialectic,zero,0.29,0.296,0.202,0.924,1.192,0.344,38.224
mixtral-8x7B-medium,dialectic,few,0.423,0.419,0.285,0.858,1.075,0.365,39.851
mixtral-8x7B-medium,dialectic,cot,0.207,0.205,0.14,0.985,1.259,0.348,38.718
mistral-22B-medium,logic,zero,-0.138,-0.14,-0.095,1.181,1.509,0.317,36.884
mistral-22B-medium,logic,few,0.039,0.035,0.023,1.098,1.386,0.396,44.022
mistral-22B-medium,logic,cot,-0.164,-0.173,-0.117,1.205,1.526,0.311,36.239
mistral-22B-medium,rhetoric,zero,0.067,0.056,0.038,1.094,1.366,0.473,51.326
mistral-22B-medium,rhetoric,few,0.088,0.076,0.051,1.08,1.351,0.483,52.308
mistral-22B-medium,rhetoric,cot,0.1,0.096,0.065,1.069,1.342,0.429,46.904
mistral-22B-medium,dialectic,zero,-0.079,-0.073,-0.049,1.163,1.469,0.365,41.241
mistral-22B-medium,dialectic,few,0.058,0.053,0.036,1.099,1.372,0.428,47.004
mistral-22B-medium,dialectic,cot,-0.084,-0.088,-0.059,1.174,1.473,0.366,41.435
olmo2-32B-medium,logic,zero,0.694,0.685,0.495,0.615,0.782,0.52,55.247
olmo2-32B-medium,logic,few,0.638,0.629,0.448,0.662,0.851,0.485,52.057
olmo2-32B-medium,logic,cot,0.707,0.696,0.505,0.602,0.766,0.569,60.056
olmo2-32B-medium,rhetoric,zero,0.654,0.656,0.47,0.655,0.831,0.535,56.551
olmo2-32B-medium,rhetoric,few,0.651,0.65,0.464,0.66,0.835,0.569,60.07
olmo2-32B-medium,rhetoric,cot,0.678,0.671,0.485,0.625,0.802,0.574,60.429
olmo2-32B-medium,dialectic,zero,0.65,0.636,0.453,0.667,0.837,0.445,47.721
olmo2-32B-medium,dialectic,few,0.526,0.503,0.349,0.777,0.973,0.534,56.831
