Topic ID,Argument ID,Discussion ID,Premise,Relevance,Is Argument?,Rhetorical Quality,Logical Quality,Dialectical Quality,Text Length,Stance,Combined Quality,id,mistral-7B-small_logic_zero_shot_bt_zscore,mistral-7B-small_logic_few_shot_bt_zscore,mistral-7B-small_logic_cot_bt_zscore,mistral-7B-small_rhetoric_zero_shot_bt_zscore,mistral-7B-small_rhetoric_few_shot_bt_zscore,mistral-7B-small_rhetoric_cot_bt_zscore,mistral-7B-small_dialectic_zero_shot_bt_zscore,mistral-7B-small_dialectic_few_shot_bt_zscore,mistral-7B-small_dialectic_cot_bt_zscore,llama-8B-small_logic_zero_shot_bt_zscore,llama-8B-small_logic_few_shot_bt_zscore,llama-8B-small_logic_cot_bt_zscore,llama-8B-small_rhetoric_zero_shot_bt_zscore,llama-8B-small_rhetoric_few_shot_bt_zscore,llama-8B-small_rhetoric_cot_bt_zscore,llama-8B-small_dialectic_zero_shot_bt_zscore,llama-8B-small_dialectic_few_shot_bt_zscore,llama-8B-small_dialectic_cot_bt_zscore,olmo2-7B-small_logic_zero_shot_bt_zscore,olmo2-7B-small_logic_few_shot_bt_zscore,olmo2-7B-small_logic_cot_bt_zscore,olmo2-7B-small_rhetoric_zero_shot_bt_zscore,olmo2-7B-small_rhetoric_few_shot_bt_zscore,olmo2-7B-small_rhetoric_cot_bt_zscore,olmo2-7B-small_dialectic_zero_shot_bt_zscore,olmo2-7B-small_dialectic_few_shot_bt_zscore,olmo2-7B-small_dialectic_cot_bt_zscore,qwen2.5-7B-small_logic_zero_shot_bt_zscore,qwen2.5-7B-small_logic_few_shot_bt_zscore,qwen2.5-7B-small_logic_cot_bt_zscore,qwen2.5-7B-small_rhetoric_zero_shot_bt_zscore,qwen2.5-7B-small_rhetoric_few_shot_bt_zscore,qwen2.5-7B-small_rhetoric_cot_bt_zscore,qwen2.5-7B-small_dialectic_zero_shot_bt_zscore,qwen2.5-7B-small_dialectic_few_shot_bt_zscore,qwen2.5-7B-small_dialectic_cot_bt_zscore,commandr-7B-small_logic_zero_shot_bt_zscore,commandr-7B-small_logic_few_shot_bt_zscore,commandr-7B-small_logic_cot_bt_zscore,commandr-7B-small_rhetoric_zero_shot_bt_zscore,commandr-7B-small_rhetoric_few_shot_bt_zscore,commandr-7B-small_rhetoric_cot_bt_zscore,commandr-7B-small_dialectic_zero_shot_bt_zscore,commandr-7B-small_dialectic_few_shot_bt_zscore,commandr-7B-small_dialectic_cot_bt_zscore,mixtral-8x7B-medium_logic_zero_shot_bt_zscore,mixtral-8x7B-medium_logic_few_shot_bt_zscore,mixtral-8x7B-medium_logic_cot_bt_zscore,mixtral-8x7B-medium_rhetoric_zero_shot_bt_zscore,mixtral-8x7B-medium_rhetoric_few_shot_bt_zscore,mixtral-8x7B-medium_rhetoric_cot_bt_zscore,mixtral-8x7B-medium_dialectic_zero_shot_bt_zscore,mixtral-8x7B-medium_dialectic_few_shot_bt_zscore,mixtral-8x7B-medium_dialectic_cot_bt_zscore,mistral-22B-medium_logic_zero_shot_bt_zscore,mistral-22B-medium_logic_few_shot_bt_zscore,mistral-22B-medium_logic_cot_bt_zscore,mistral-22B-medium_rhetoric_zero_shot_bt_zscore,mistral-22B-medium_rhetoric_few_shot_bt_zscore,mistral-22B-medium_rhetoric_cot_bt_zscore,mistral-22B-medium_dialectic_zero_shot_bt_zscore,mistral-22B-medium_dialectic_few_shot_bt_zscore,mistral-22B-medium_dialectic_cot_bt_zscore,olmo2-32B-medium_logic_zero_shot_bt_zscore,olmo2-32B-medium_logic_few_shot_bt_zscore,olmo2-32B-medium_logic_cot_bt_zscore,olmo2-32B-medium_rhetoric_zero_shot_bt_zscore,olmo2-32B-medium_rhetoric_few_shot_bt_zscore,olmo2-32B-medium_rhetoric_cot_bt_zscore,olmo2-32B-medium_dialectic_zero_shot_bt_zscore,olmo2-32B-medium_dialectic_few_shot_bt_zscore,olmo2-32B-medium_dialectic_cot_bt_zscore,mixtral-8x22B-medium_logic_zero_shot_bt_zscore,mixtral-8x22B-medium_logic_few_shot_bt_zscore,mixtral-8x22B-medium_logic_cot_bt_zscore,mixtral-8x22B-medium_rhetoric_zero_shot_bt_zscore,mixtral-8x22B-medium_rhetoric_few_shot_bt_zscore,mixtral-8x22B-medium_rhetoric_cot_bt_zscore,mixtral-8x22B-medium_dialectic_zero_shot_bt_zscore,mixtral-8x22B-medium_dialectic_few_shot_bt_zscore,mixtral-8x22B-medium_dialectic_cot_bt_zscore,llama-70B-big_logic_zero_shot_bt_zscore,llama-70B-big_logic_few_shot_bt_zscore,llama-70B-big_logic_cot_bt_zscore,llama-70B-big_rhetoric_zero_shot_bt_zscore,llama-70B-big_rhetoric_few_shot_bt_zscore,llama-70B-big_rhetoric_cot_bt_zscore,llama-70B-big_dialectic_zero_shot_bt_zscore,llama-70B-big_dialectic_few_shot_bt_zscore,llama-70B-big_dialectic_cot_bt_zscore,qwen2.5-72B-big_logic_zero_shot_bt_zscore,qwen2.5-72B-big_logic_few_shot_bt_zscore,qwen2.5-72B-big_logic_cot_bt_zscore,qwen2.5-72B-big_rhetoric_zero_shot_bt_zscore,qwen2.5-72B-big_rhetoric_few_shot_bt_zscore,qwen2.5-72B-big_rhetoric_cot_bt_zscore,qwen2.5-72B-big_dialectic_zero_shot_bt_zscore,qwen2.5-72B-big_dialectic_few_shot_bt_zscore,qwen2.5-72B-big_dialectic_cot_bt_zscore,commandr-104B-big_logic_zero_shot_bt_zscore,commandr-104B-big_logic_few_shot_bt_zscore,commandr-104B-big_logic_cot_bt_zscore,commandr-104B-big_rhetoric_zero_shot_bt_zscore,commandr-104B-big_rhetoric_few_shot_bt_zscore,commandr-104B-big_rhetoric_cot_bt_zscore,commandr-104B-big_dialectic_zero_shot_bt_zscore,commandr-104B-big_dialectic_few_shot_bt_zscore,commandr-104B-big_dialectic_cot_bt_zscore
1,2,29832,"According to Heather Boushey, Executive Director and Chief Economist at the Washington Center for Equitable Growth, raising the minimum wage is an important anti-poverty measure. A person earning the current minimum wage and working a 40-hour week makes $15,080 per year, which is barely above the poverty line for a single adult and is well below it for someone supporting children. The most recent proposal to increase the federal minimum wage would have raised it to $10.10 per hour, though it didn""t pass. More than half of the states (including the District of Columbia) already have higher minimum wages than the federal minimum wage. The District of Columbia is currently the highest at $10.50/hour. There has been discussion lately about increasing the federal minimum wage to $15 per hour, which would bring a family relying on a single wage-earner above the poverty line. Minimum wage laws in the states as of January 1, 2016 so therefore, it should not be increased",-0.446654263,True,-0.655064971,0.569558884,0.935228787,161,True,0.344231705,29832_2_1,-0.1373,-3.2905,-0.3348,0.9471,1.8596,1.5094,0.4768,2.6881,-0.1013,0.335,0.1166,0.3442,1.1183,1.358,1.4487,-0.2189,0.7176,-0.6174,-3.6209,-2.6464,-3.2207,-2.0773,-3.5213,-1.0027,-3.0692,-2.9425,-1.2433,0.9857,1.7307,-1.7818,-0.6363,-0.6433,1.6954,0.9027,0.5124,-0.9791,-1.0162,-0.8832,-0.1183,-0.0747,0.0687,-0.0118,-0.0997,0.9349,0.3494,-2.9384,0.2782,-3.6138,-3.5137,2.143,-2.3237,-3.3979,-1.203,-2.7571,-3.4037,-1.8254,-3.2152,-2.9136,-3.7194,-2.2393,-3.1379,-1.9545,-3.1872,0.223,0.5668,-1.1434,0.6882,0.2187,1.5592,1.2335,-0.8788,0.5561,-1.4081,-0.1148,-0.5951,-0.3844,-1.0142,-0.0455,-0.8317,-0.2278,-1.1979,-0.474,-1.2041,1.0261,0.0921,-1.6755,1.3017,0.2756,-1.3957,-0.0233,-0.077,0.4437,-0.7135,-0.2534,-0.3633,0.0971,-0.4495,-0.3629,-0.3568,2.048,2.5269,2.129,1.6638,1.4459,2.0858,2.0044,1.4471,2.1057
1,1,37069,"Increasing the federal minimum wage from $7.25 per hour to $10.10 per hour will mostly benefit the U.S. Economy. This will be my position in this debate. (I will also be arguing that the federal minimum wage should be indexed to inflation, to keep up with the rising cost of living--a point which my opponent can either choose to refute or ignore.) Con will argue that raising the federal minimum wage will either have no benefit for anyone or will hurt the U.S. economy. I will use numerous reliable sources to show that an increase in the federal minimum wage will grow national GDP by tens of billions of dollars and create hundreds of thousands of jobs. But there are other numerous benefits to raising the minimum which I will demonstrate. I expect Con to use resources to demonstrate that a raise will either have zero impact or will overall negatively hurt the U.S. Economy. First Round is for acceptance only. Good luck! (Disclaimer: for this debate the use of the comments section to post working links that appear dead in the actual debate will be allowed. Neither debater can use the comments section to extend the debate. The comments section shall be used only for non-scored comments and to post working links to sources that are inactive in the actual debate.)",-0.446654263,True,-0.536873134,0.99133381,1.576957547,222,True,0.817718808,37069_1_1,0.0859,-2.8817,0.4601,0.6833,2.0763,1.5674,0.6354,1.1248,1.1098,1.1531,-0.0805,1.0023,0.8782,0.7588,-1.0122,-0.1571,2.2867,2.1317,-3.5378,-2.1667,-2.8675,-2.6741,-1.7191,-3.1879,-3.4063,-2.9425,-3.828,1.1282,1.6762,-0.1097,0.9577,1.6528,0.9823,1.0936,1.7256,0.5708,0.7297,-0.6509,1.4538,0.3404,-0.0824,0.1966,0.3463,1.4412,0.5591,-1.6425,1.2414,-2.3863,-1.95,1.9687,-2.1256,-1.8197,-0.0087,-2.9685,-2.2633,-0.2103,-2.6585,-1.5939,-1.8139,-1.944,-2.1235,-1.3278,-2.0841,0.2574,0.8533,0.3365,0.5716,1.0123,0.2134,0.8262,1.3714,0.7332,-0.0633,-0.8844,-0.2071,0.7981,2.013,0.7948,-0.3732,1.2031,0.1511,1.2114,1.562,1.3584,1.044,0.781,1.367,1.5189,1.4604,1.0807,0.8958,0.5304,1.0627,0.9211,0.8918,0.3278,1.2179,0.5498,0.8085,1.1446,1.7273,1.7126,1.6149,1.8234,1.6206,1.7154,1.4471,1.8316
1,1,11975,"Increasing the federal minimum wage from $7.25 per hour to $10.10 per hour will mostly benefit the U.S. Economy. This will be my position in this debate. Con will argue that raising the federal minimum wage will either have no benefit for anyone or will hurt the U.S. economy. I will use numerous reliable, reputable sources to show that an increase in the federal minimum wage will grow national GDP by tens of billions of dollars and create hundreds of thousands of jobs. There are also other benefits to raising the minimum which I will demonstrate. I expect Con to use resources to demonstrate that a raise will either have zero impact or will negatively hurt the U.S. Economy. First Round is for acceptance only. Good luck!",-0.446654263,True,0.013220751,0.562327448,0.216522874,127,True,0.298827493,11975_1_1,0.0859,-2.1337,0.0562,0.427,1.165,0.84,0.6519,0.8439,0.6879,1.8893,-0.0805,0.598,0.2881,1.642,-0.0959,1.7335,1.3647,1.0349,-3.2265,-2.5374,-2.6643,-2.6708,-1.7191,-2.7753,-3.1049,-2.178,-3.0136,1.4773,1.2306,0.0132,1.3113,1.6528,0.7489,1.3004,1.5427,0.5708,0.2021,0.6157,1.0183,0.2279,0.2171,1.0681,0.2179,1.467,1.0668,-1.6521,0.1704,-1.9262,-1.7511,1.7888,-1.3955,-1.8197,0.2216,-2.2699,-1.5001,-0.0086,-1.6116,-2.8739,-0.6974,-0.9217,-2.214,-0.4814,-2.1569,1.1527,-0.2891,0.2034,1.7143,0.3406,0.6093,0.0991,1.0795,0.5695,-0.2154,-1.5093,-0.8191,0.0664,2.0085,0.1698,-1.0344,1.378,-0.8429,1.2114,1.4344,1.3584,0.6401,0.5053,1.367,1.5189,1.3403,0.9426,0.7611,0.1887,0.7617,0.9295,0.3344,0.4832,1.2179,0.7985,0.9373,1.8595,1.6935,1.7791,1.8256,1.9276,1.7403,1.5162,1.1302,1.8604
1,2,38713,"First off, you question whether "" the only factor effecting unemployment is the finances of those employing the workforce"" is true. Economics 101 would support that it is true in most if not all cases. Your statement ""raising the federal minimum wage may work to incentivize people who have previously relied on welfare to seek employment. "" seems more an indictment of welfare than a cogent argument for raising minimum wage. Here is another opinion (with a citation) From : ""Beginning in 2008, the United States economy entered a recession. Yet, at a time when many companies found it necessary to cut labor costs, the minimum wage increased. Faced with the limited choices of ( remaining in business) or laying off workers, the minimum wage workers were the ones to suffer by being laid off, according to Forbes.com. In 2004, three states that had higher minimum wage laws than were required---Alaska, Washington and Oregon---were among the five states with the highest unemployment, according to an Economic Policy Institute article by Jeff Chapman. "" To clarify, I would support keeping the minimum where it is, but making it beneficial for companies to give ""merit' or ""service"" increases. In other words, keep minimum wage as a STARTING wage, but give increases based on performance. This would be much better than a blanket raising of the wage for workers, some of whom are more of a liability than an asset. On a personal note, I once worked for a Fortune 500 corporation that paid minimum wage plus commission on sales. Those that sold did well. Those that did not produce usually left for another job. Raising the minimum would not have changed anything at all.",-0.133873234,True,0.046583432,-0.596199104,0.2198797,282,True,-0.130218608,38713_2_1,0.0859,-1.9349,0.0645,0.795,1.8596,0.1082,0.9665,0.844,0.7021,0.1568,0.1059,0.3793,1.575,1.358,0.1828,1.442,1.5424,1.6683,-1.1455,-1.4818,-2.0333,-1.84,-1.5445,-3.0353,-2.2122,-2.178,-1.4812,1.1643,1.3821,-0.5546,0.4518,1.0578,0.9267,1.1664,0.5124,-0.2995,-0.9211,-2.5055,-0.9343,0.6359,1.135,-0.3453,-0.2462,0.3552,1.0777,-1.2435,0.2782,-1.4191,-1.7202,1.6032,-0.4509,-1.0423,0.735,-1.9819,-2.2106,-1.3259,-2.0702,-2.349,-0.8956,-3.3722,-1.639,-1.7823,-2.2822,-0.0162,-0.4979,0.6832,1.1915,-0.2221,0.8102,0.8597,0.9267,1.1006,-0.3574,-0.7419,-1.4748,-0.8358,0.5887,-0.6519,-0.5571,-0.0307,-1.5837,1.4049,1.2298,1.1623,1.24,1.1108,1.1681,1.1898,1.0146,1.0123,0.5888,0.5246,0.0975,0.5048,0.4568,0.7523,0.6675,0.6836,0.5253,1.3539,1.3477,1.5956,1.3583,1.3302,1.5592,1.3308,1.6464,1.4658
1,3,33824,"While I believe that everyone in America stands by the right for individuals to earn a ""living wage,"" increasing the federally mandated minimum wage to 15 dollars an hour is not an effective or sustainable way to help Americans support themselves and their families. Based on position statements on the Marco Rubio website, Rubio and other conservative Republicans indicate that increasing minimum wage through federal law would be seriously detrimental to small businesses across the country who would not be able to sustain the increase - and therefore risk going out of business. If that happens, unemployment would soar and the very people who were meant to benefit from the minimum wage increase would find themselves in a much worse financial situation, as a result. The logic that increasing the take home income of Americans will put money right back into the economy is fundamentally flawed based on the fact that it takes significant amounts of time for that money to trickle back up to the businesses that are supposedly sustaining the growth through payroll. Instead, I would argue that Marco Rubio's top-down approach - in which tax cuts for businesses, along with smarter economic policies, would help to create jobs that pay more. Historically, minimum wage laws have not helped the middle class attain more prosperity; they simply deplete small business' ability to sustain economic and fiscal growth.",-0.133873234,True,-0.399773203,-0.764425157,0.602791652,229,False,-0.207218484,33824_3_1,0.7206,-1.4623,0.4642,1.7484,0.9171,2.6047,2.0231,0.0874,2.2899,-0.6222,2.0904,1.5604,0.7521,1.0638,1.9236,0.6464,1.2772,0.967,-2.1397,-1.8155,-0.7553,-1.4734,-1.5445,-1.9467,-1.3951,-1.8261,-1.1314,1.0452,1.3821,0.6325,1.2643,0.8963,1.2283,1.0148,1.3558,1.6009,0.4804,-0.1364,0.2525,0.8674,-0.0953,0.3457,0.3285,0.1999,-0.7196,0.7337,1.2647,-1.6137,0.3267,1.4113,-0.4026,-0.7118,0.8752,-0.7997,-1.518,-1.9584,-2.0702,-1.0086,-0.6974,-1.2707,-1.6964,-0.6459,-1.5203,1.1553,0.8455,1.3549,1.5966,1.5819,1.029,0.7254,0.3759,1.4374,0.5445,0.4029,0.7407,0.9787,1.595,0.4173,0.4124,0.3881,0.4344,0.5692,0.9428,0.8852,0.9825,1.1108,1.0299,1.0504,0.7346,0.5656,1.1639,1.2898,1.1171,1.2643,1.4962,1.4361,1.0377,1.3335,1.1076,1.6649,1.0612,1.4061,1.258,1.6438,1.3721,1.5365,1.4471,1.6881
1,1,38713,"The current Federal Minimum wage if raised would increase unemployment, increase overall costs, and cause a negative ripple through the economy. Many states have their own minimum wage laws which are higher now. I say leave the federal minimum where it is. If individual states want to raise their rate, that is their decision. But the federal minimum must not be raised.",0.178907796,True,-0.624447999,0.405015294,0.656273318,62,True,0.176220575,38713_1_1,0.2816,-0.9787,-0.343,0.1099,1.4045,0.3431,0.0778,-0.5061,-0.1315,-0.1732,-0.1246,0.1274,-1.0151,0.2872,-0.7347,-0.7267,1.5424,-0.5561,-1.1118,-0.923,-1.1537,-1.0056,-1.3425,-1.5724,-1.3403,-1.2869,-1.2707,-0.3375,0.6099,-0.4487,-0.6205,-0.0066,-0.1366,-0.953,-0.0736,-0.2995,0.3462,-1.8616,-2.1539,-1.4275,0.5119,-1.1164,-0.8666,-0.5899,-1.1333,-1.0248,0.0876,-0.7185,-1.1875,1.0075,-1.4614,-1.7028,-0.0296,-0.8601,-1.518,-1.4062,-1.5611,-1.123,-1.2191,-1.4558,-1.8834,-0.8785,-1.4131,-0.0352,0.5387,0.0657,-0.7851,0.1769,0.6757,-0.3988,0.5171,0.1893,-0.808,-0.0148,-0.8135,-0.5245,-0.0795,-1.0969,-0.6999,-0.2482,-0.9355,-0.0976,0.1922,-0.0768,-0.6306,-0.2184,-0.4703,0.0021,-0.173,-0.3923,0.2836,0.3991,0.0975,0.2631,0.0907,0.5147,0.1673,0.1756,0.1966,1.0307,0.3752,0.7971,1.0344,0.075,1.0576,0.807,0.9182,1.0038
1,5,12533,"The minimum wage should not be raised because: 1) Price-Demand chart shows that when the price of a good or service increases, consumers will demand less of it. In this case, laborers offering to sell their labor to an employer now must be worth at least the mandated minimum to the employer otherwise the employee is now unemployable and will not be able to work the job even if he would have done so for less than the mandated minimum. Raising the minimum wage increases unemployment for unskilled workers, just as raising height requirements decreases the amount of short passengers for a roller-coaster. 2) The current minimum wage is in fact ""livable"", as by the criteria of ""livable"", nobody working at the current minimum wage could do so if it were not. Since the minimum wage is in fact already ""livable"", then the minimum wage has already achieved what it is set out to achieve and thus, does not need to be raised any further. 3) Only roughly 4% of the labor force actually works at the mandated minimum wage. And out of that 4%, 50% are under the age of 25. [1] People who are this young tend to be dependent on other members of their families and so there is no reason to be raising the ""livable"" wage for those which are not dependent on the wage itself being ""livable"". 4) Since only 2% of workers could be said to be dependent on the minimum wage, and the minimum wage is federal policy which is contingent on the current political atmosphere and not sound economic policy, other methods besides the minimum wage should be pursued to better the lives of that 2%. [1]",-0.133873234,True,0.93954541,1.241593406,1.462857601,285,False,1.400028633,12533_5_1,0.0859,-1.1508,0.0645,-0.0217,-0.7878,0.1088,0.2904,0.0558,0.7001,-0.0454,0.4678,1.2377,0.4194,0.6054,1.1087,0.3176,0.7176,-0.3687,-0.0951,-1.1639,-0.7894,-1.1876,-1.5445,-0.8727,-0.9001,-0.5787,-0.3906,-0.2411,0.8134,-0.3562,-0.1634,-0.2096,-0.0392,-0.0412,0.3247,-0.2995,-0.0949,0.1798,0.7754,-0.0438,0.6684,0.0396,-0.7061,0.6802,-1.1106,-0.1673,0.2808,-0.9152,-1.0395,1.2129,-0.8636,-0.6797,1.0332,-0.8844,-1.0495,-0.743,-1.2307,-1.1631,-1.0692,-1.2853,-1.2142,-0.4632,-1.0439,1.5226,-0.8054,0.811,0.0618,0.4617,0.3546,0.0615,0.6691,0.3081,0.6884,0.7123,0.6339,0.8727,1.1758,0.1057,0.5012,0.528,0.0545,1.0082,0.8485,1.0261,1.24,0.9835,0.5856,0.9063,1.1475,0.2397,1.1639,1.3684,0.8512,1.2643,1.2907,1.1761,1.0377,1.3335,0.903,1.4637,1.0612,1.2101,0.8233,1.4459,0.8625,1.4359,0.9182,0.983
1,1,1602,"First round is for acceptance. I shall define the resolution: Minimum wage: A wage set by State (or in this case) Federal government which states that no employer can pay below X amount of money per hour to a specific employee. Increase: 10% increase or more Adverse: Negative, decreased employment, etc. Employment: Having paid work ==> If you need further clarification or want a specific definition changed, say so in the comments ==> This debate is about the current US system ==> Note this is NOT about abolishing the minimum wage ==> NO semantics, and treat this debate seriously Good luck!",-0.446654263,True,-0.146156682,-1.124578297,-0.276527946,101,True,-0.596288429,1602_1_1,0.0859,-0.8534,-0.343,-0.765,-0.4738,-0.1489,0.1289,0.0658,-0.5207,0.166,1.1384,-0.3131,-0.5171,0.865,-0.9106,-1.1026,1.0025,-0.5623,-1.0925,-0.8604,-0.3905,-0.5204,0.4165,-0.2297,-0.5137,0.1203,-1.3063,-0.3044,0.1872,-0.2269,-0.7324,0.8159,-0.6946,-0.5159,-0.8322,-0.5159,-1.8006,-1.4398,-1.3478,-0.3608,-0.565,-0.5309,-1.0462,-0.4235,-1.5723,-1.1491,0.0046,-1.399,-1.0203,0.7947,-1.0039,-0.7853,-0.3978,-0.7512,-0.5696,0.3099,-0.287,-0.863,0.503,-0.631,-0.7606,0.8324,0.4516,0.769,-0.5721,-0.01,0.5402,0.4991,0.3442,0.6883,-0.2216,0.581,0.157,-0.238,-0.2333,-0.9933,0.4368,-0.0133,0.15,0.9029,-0.7622,-1.1011,-0.7582,-0.4523,-0.8325,-0.311,0.0896,-0.7737,-0.2415,-0.1155,-0.1535,-0.5894,-0.1877,-0.2392,-0.0826,-0.1475,-0.4503,-0.3577,0.2167,0.7668,0.8113,0.7971,0.3329,0.5939,0.3324,0.9215,0.3244,0.4874
1,3,43000,"Our inflation rate is very low as stated in this article, because the Federal Reserve is pumping trillions of dollars into our economy. You never really give a statistic saying how inflation is high. All you say is that we need to increase the minimum wage to keep up with inflation which is not clear. This evidence that I have stated here claims that inflation is low, and will stay low. Minimum Wage will have no impact on poverty: 2% of Americans are paid minimum wage which is an extremely insignificant number. People cannot act like the minimum wage actually has an impact on the economy. It is just the start pay for a job. Also, you never explain the link between the minimum wage and inflation. Especially, since only 2% of American are paid minimum wage, than how does your link really work in the circumstances of the status quo, You also have not disputed the harms of raising the minimum wage. It is almost certain that if you raise the minimum wage, there will be jobs lost. Here are the numbers: 25 cent raise=30,000 to 50,000 jobs lost. 10% increase=160,000 jobs 2003-Minimum wage=$5.15 2007 Minimum Wage=$5.85 These increases lost jobs, and had no impact on poverty. Con must answer these questions in the next round: How are you going to handle a job loss that is over 160,000 jobs?(Especially with a congress split on what to do in such a situation)? Explain the link between inflation and the minimum wage. Under the circumstance(2% of Americans get paid the minimum wage), how are you even going to raise the minimum wage with inflation already controlled? Thank you again for accepting the debate.",-0.133873234,True,-0.041378404,-0.111625962,1.526625503,283,True,0.552234505,43000_3_1,0.2805,-0.8925,0.3995,0.7664,1.5609,0.315,0.639,-0.5788,0.0626,1.5802,-0.0099,0.597,0.1471,0.6748,2.237,0.8436,1.4672,0.0991,-0.9939,-1.0827,-0.6912,-1.0899,-1.1239,-1.2743,-1.1398,-0.8054,0.3229,0.4957,1.1249,-1.1767,0.6136,0.7919,0.575,1.0582,0.9699,1.175,-0.6817,-0.5585,0.465,-0.9109,-0.3711,0.434,-0.2185,-0.4785,-0.6036,-0.7235,0.3625,-0.9361,-1.1996,1.0055,-0.6917,-0.8584,0.9155,-0.8412,-1.5349,-0.4167,-0.9397,-0.6312,-0.5481,-1.1583,-0.8,-1.2289,-1.1039,0.3907,-0.8245,0.7253,0.8821,-0.1335,0.9435,1.7348,-1.3513,-0.4653,-0.35,-1.4529,-0.695,0.0687,0.3994,-1.0182,-0.0724,-0.3504,-0.2746,1.3736,1.3157,0.8743,1.1961,1.4086,1.0186,1.155,1.1181,1.1181,0.4078,0.5897,0.0792,0.9668,1.0369,0.2489,0.8551,0.6465,0.5426,0.5905,1.0583,0.8716,0.7755,0.6585,0.9673,0.9108,1.2238,0.4757
1,3,18018,"My opponent claims that those working on a minimum wage deserves an increased pay. But why so? What my opponent has failed to realize is that a simple increase of one dollar causes an increase of about 1.327 million dollars (per hour) for the US as a whole. Now let's be realistic. The US has a debt nearly the size of its GDP. The US is using basically stealing money from its citizens as it uses money from social security already piled up. Do you really and honestly think that we can afford increasing spending on minimum wage? Frankly, no. Even though it may be beneficial towards those working on minimum wage, as a whole, it would greatly impact the US. Furthermore, if so many people are working on minimum wage, the most effective way to better the income issue would be to increase the education of individuals, therefore increasing the amount of opportunities coming their way. Instead of using whatever insufficient, excess money that the US has on increasing minimum wage, why not better the public infrastructure? When increasing public infrastructure, it allows individuals to have better access to education (for example schools and libraries), ultimately increasing the capability of citizens in the US. Obviously, once public infrastructure is bettered and mean tested welfare programs are back and running, we cannot allow for there to be any leeway for the increasing of minimum wage. Maybe, when the US gets it debt substantially lower than its GDP, then there may be a chance for minimum wage to be increased. Even then, it would most likely be better not to increase minimum wage annually but maybe every couple of years. But until then, no course of action should be taken.",-0.290263748,True,-0.128496218,0.432353908,1.598852735,289,False,0.753152843,18018_3_1,-0.1279,-0.777,0.0241,-0.2602,0.8625,0.0808,0.1471,0.181,0.0735,-0.2864,0.6813,0.7769,1.2963,1.2574,-0.2391,0.8856,0.6679,0.8943,-0.8208,-1.0827,-0.7094,-0.9416,-1.1239,-0.8083,-0.2785,-0.8054,-0.4998,0.5949,0.551,-0.9141,0.2905,0.627,0.1582,0.5925,0.8055,-0.849,-0.2209,0.1327,1.4482,0.2301,-0.1797,0.7353,0.7387,-0.2185,1.0415,-0.4108,0.9217,-0.7757,-0.7745,0.8017,0.033,-0.5366,0.9195,-0.8854,-0.9526,-0.5733,-0.836,-0.9347,-0.8967,0.1238,-0.6332,-3.0661,-0.9333,0.163,-0.3789,1.2713,1.8053,0.116,0.7329,0.8735,1.1061,-0.1786,0.6247,-0.0258,0.2667,0.081,0.0087,0.2041,0.0181,0.4342,-0.2147,-1.0249,0.284,-0.5888,-0.6038,0.3888,-0.6035,-0.2441,-0.0453,-0.4601,-0.0098,0.281,-0.2527,0.0917,0.5138,0.2489,0.0896,0.089,0.0631,0.4719,0.5281,0.7824,0.4553,0.2112,0.5704,0.5862,0.6943,0.9613
